GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
310M300US28700,28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",128184,1010,40432,712,0.3,0.1,32049,5805,85001,1055,51950,963,35.8,0.9,48964,1944,64.2,0.9,53496,1207,75.7,1.0,60440,1213,17.2,1.0,27228,1253,7.2,0.5,35448,3031,43183,1178,22999,787,55.9,1.4,20697,686,51.2,1.5,19653,971,4.7,0.7,39892,5273,44.1,1.4,27379,1615,37.3,1.3,25514,1357,6.8,0.9,41867,6218
310M300US28740,28740,"Kingston, NY Metro Area",69335,1125,60393,1330,1.3,0.3,34573,7883,43049,1149,76101,2336,37.8,1.1,73483,2845,62.2,1.1,77891,2972,75.1,1.3,90221,2767,17.0,1.1,40494,2319,7.9,0.9,51275,9976,26286,895,32796,1938,55.2,1.7,30318,1705,45.5,1.6,26200,2044,9.6,1.1,63289,6090,44.8,1.7,42169,3681,35.2,1.7,33136,5761,9.7,1.2,76553,1855
310M300US28940,28940,"Knoxville, TN Metro Area",342226,1688,47357,622,0.5,0.1,32994,7431,222245,1764,60696,669,38.4,0.5,59821,1372,61.6,0.5,61198,857,77.4,0.6,71064,963,16.5,0.5,27195,913,6.1,0.4,39504,1728,119981,1744,27260,605,54.7,0.8,24866,697,46.8,0.7,22981,680,7.9,0.6,42918,3167,45.3,0.8,31095,729,36.2,0.7,27940,1279,9.1,0.5,45316,3757
310M300US29020,29020,"Kokomo, IN Metro Area",34411,450,45928,1189,0.4,0.2,125109,109776,22223,534,60286,2083,41.0,1.4,53403,3236,59.0,1.4,63869,2418,73.2,1.6,71358,2889,19.0,1.5,27738,3977,7.8,1.0,51282,7238,12188,587,27309,1418,55.9,2.7,25404,1599,50.9,2.7,23494,2608,5.0,1.3,50375,7365,44.1,2.7,31737,2728,35.8,2.4,28768,3304,8.3,2.0,44293,8536
310M300US29100,29100,"La Crosse-Onalaska, WI-MN Metro Area",54646,507,52004,1185,0.4,0.2,41500,8701,33022,605,70933,2524,41.6,1.0,71488,3607,58.4,1.0,70458,3405,80.1,1.4,80852,1975,13.3,1.3,33424,4022,6.6,0.8,44415,9542,21624,694,30923,1167,54.1,1.7,26730,1011,41.4,1.7,24842,1553,12.7,1.4,38669,4941,45.9,1.7,37417,2918,32.7,1.5,33715,3769,13.2,1.3,46653,5400
310M300US29180,29180,"Lafayette, LA Metro Area",179139,1247,48549,1052,0.5,0.1,39848,9270,119235,1294,60002,1504,46.5,1.0,60645,2365,53.5,1.0,59442,1794,68.3,1.0,79086,1682,23.6,1.0,25644,1065,8.1,0.6,45853,3008,59904,1376,27675,1047,50.8,1.4,22223,966,42.8,1.4,20485,799,8.0,0.9,42900,3476,49.2,1.4,36000,1640,38.6,1.4,30868,1365,10.6,1.0,54238,4107
310M300US29200,29200,"Lafayette-West Lafayette, IN Metro Area",79330,773,48143,1547,1.1,0.3,39694,12745,46194,838,63670,1836,45.9,1.3,61039,3358,54.1,1.3,65410,2263,76.0,1.5,76953,2371,17.4,1.2,27526,1982,6.5,0.7,41716,5522,33136,1008,27417,1396,48.6,1.7,24939,1463,35.8,1.6,23395,1585,12.8,1.6,29142,3915,51.4,1.7,31135,2140,34.3,1.7,29325,2349,17.2,1.4,38306,5658
310M300US29340,29340,"Lake Charles, LA Metro Area",78923,848,47039,1441,0.6,0.2,,,52731,1022,58097,2341,44.4,1.1,54948,2804,55.6,1.1,60105,2136,69.1,1.5,75637,2463,22.6,1.3,25605,1427,8.2,1.0,49556,6664,26192,902,25303,1347,54.2,2.3,21375,1329,46.8,2.3,19764,979,7.4,1.2,37363,6537,45.8,2.3,31296,1944,38.6,2.3,29589,3013,7.2,1.1,46728,8238
310M300US29420,29420,"Lake Havasu City-Kingman, AZ Metro Area",82145,1234,39856,1002,1.7,0.3,40474,9826,51907,1214,47816,1541,28.7,1.0,42324,3618,71.3,1.0,49484,1903,75.0,1.4,54364,1654,17.7,1.1,29988,2050,7.3,0.9,31947,1708,30238,1182,25409,939,49.9,1.9,23598,1174,39.5,1.9,20695,1522,10.4,1.3,40619,3998,50.1,1.9,28272,2429,38.2,2.0,24546,1783,11.9,1.5,47500,8091
310M300US29460,29460,"Lakeland-Winter Haven, FL Metro Area",223060,1717,44146,826,1.3,0.2,35661,7017,153104,1788,51636,692,36.8,0.7,45396,1438,63.2,0.7,54472,996,72.9,0.8,60908,1057,20.0,0.7,29608,1312,7.1,0.4,37585,2231,69956,1494,27897,938,56.0,1.1,25101,957,47.7,1.3,22297,896,8.3,0.7,50477,3137,44.0,1.1,32122,808,34.2,1.1,28929,1253,9.8,0.7,52921,4437
